task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1462	87/75ba31	13158690	ame_run_shuffle (533)	CACHED	0	2021-09-14 15:27:00.690	19.9s	269ms	20.8%	0	0	641.9 KB	394.2 KB
1412	ad/ada328	13160125	ame_run_shuffle (1913)	CACHED	0	2021-09-14 15:36:40.671	20s	489ms	27.2%	0	0	1.1 MB	645.4 KB
1427	80/4ada65	13160145	ame_run_shuffle (1932)	CACHED	0	2021-09-14 15:36:50.727	17m 10s	16m 47s	90.5%	57.8 MB	340.8 MB	18.1 MB	168.5 MB
1522	b5/f8f9cf	13158760	ame_run_shuffle (600)	CACHED	0	2021-09-14 15:27:30.613	40s	7s	65.3%	12.4 MB	340.8 MB	741.6 KB	1.3 MB
1526	da/ec4a13	13158754	ame_run_shuffle (594)	CACHED	0	2021-09-14 15:27:20.850	1m 10s	27.5s	69.5%	14.3 MB	340.9 MB	1.2 MB	1.6 MB
1513	b0/f587de	13158751	ame_run_shuffle (587)	CACHED	0	2021-09-14 15:27:20.804	39.8s	278ms	20.6%	0	0	587.7 KB	352.1 KB
1527	ca/30f153	13158748	ame_run_shuffle (591)	CACHED	0	2021-09-14 15:27:20.617	45s	7.3s	66.6%	12.3 MB	340.8 MB	755.1 KB	1.4 MB
1451	0c/57f10f	13158676	ame_run_shuffle (524)	CACHED	0	2021-09-14 15:26:55.690	19.9s	502ms	28.3%	0	0	1.1 MB	595.9 KB
1410	a4/56b90f	13160123	ame_run_shuffle (1911)	CACHED	0	2021-09-14 15:36:40.650	20s	314ms	22.9%	0	0	1.1 MB	645.7 KB
1514	2a/65a270	13158753	ame_run_shuffle (589)	CACHED	0	2021-09-14 15:27:20.837	39.8s	290ms	23.3%	0	0	587.5 KB	348.4 KB
1441	3a/d8e5b0	13160127	ame_run_shuffle (1915)	CACHED	0	2021-09-14 15:36:45.987	2m 30s	2m 15s	84.9%	18.4 MB	340.8 MB	2.1 MB	15.6 MB
1454	3a/13be07	13158681	ame_run_shuffle (525)	CACHED	0	2021-09-14 15:26:55.747	19.9s	493ms	29.5%	0	0	1.1 MB	659.4 KB
1483	14/2cb754	13158715	ame_run_shuffle (556)	CACHED	0	2021-09-14 15:27:05.831	1m 30s	56.7s	79.5%	17.9 MB	340.8 MB	1.6 MB	5 MB
1496	90/ff7858	13158740	ame_run_shuffle (581)	CACHED	0	2021-09-14 15:27:15.724	39.9s	324ms	23.5%	0	0	615.7 KB	381.5 KB
1407	99/880118	13160120	ame_run_shuffle (1908)	CACHED	0	2021-09-14 15:36:35.707	1m 35s	1m 13s	81.2%	15.3 MB	340.9 MB	1.9 MB	10.1 MB
1476	f6/92ea92	13158704	ame_run_shuffle (544)	CACHED	0	2021-09-14 15:27:05.671	29.9s	195ms	15.2%	0	0	624.4 KB	381.3 KB
1485	d2/2af305	13158716	ame_run_shuffle (558)	CACHED	0	2021-09-14 15:27:05.847	54.8s	23.8s	70.3%	14.5 MB	340.9 MB	1.2 MB	3.2 MB
1552	d8/465bb5	13158770	ame_run_shuffle (610)	CACHED	0	2021-09-14 15:27:35.679	1m 20s	49.8s	77.6%	17.8 MB	340.8 MB	1.5 MB	2.2 MB
1547	cf/da1eda	13158789	ame_run_shuffle (629)	CACHED	0	2021-09-14 15:27:45.743	1m 15s	44.6s	76.7%	15.4 MB	340.8 MB	1.5 MB	6 MB
1553	7f/c9e1b4	13158793	ame_run_shuffle (632)	CACHED	0	2021-09-14 15:27:50.613	25s	274ms	23.0%	0	0	576.5 KB	340.7 KB
1548	70/d57b0b	13158791	ame_run_shuffle (630)	CACHED	0	2021-09-14 15:27:45.764	1m 10s	41.3s	76.4%	15.4 MB	340.9 MB	1.6 MB	4.7 MB
1550	83/7b2dbb	13158771	ame_run_shuffle (611)	CACHED	0	2021-09-14 15:27:35.692	54.9s	21.9s	69.2%	13.9 MB	340.8 MB	1015.9 KB	860 KB
1545	3b/032395	13158780	ame_run_shuffle (620)	CACHED	0	2021-09-14 15:27:40.662	44.9s	16.5s	69.1%	13.6 MB	340.8 MB	979.3 KB	754.5 KB
